,tweets
0,modi promis minimum govern maximum govern expect begin difficult job reform state take year get justic state busi exit psu templ
1,talk nonsens continu drama vote modi
2,say vote modi welcom bjp told rahul main campaign modi think modi relax
3,ask support prefix chowkidar name modi great servic confus read crustal clear crass filthi nonsens see abus come chowkidar
4,answer among power world leader today trump putin modi may
5,kiya tho refresh maarkefir comment karo
6,surat women perform yagna seek divin grace narendra modi becom
7,come cabinet scholar like modi smriti hema time introspect
8,upcom elect india saga go import pair look current modi lead govt elect deal brexit combin weekli look juici bear imho
9,gandhi gay modi
10,thing like demonetis gst good servic tax upper cast would sort either view favour say need give time cast like dalit muslim modi constitu
11,hope tuthukudi peopl would prefer honest well behav nationalist courag likli minist modi cabinet vote benifit thuthukudi
12,calm water where modi wave
13,one vote make differ anil kapoor answer modi elect clarion call extend support vote kar campaign
14,one vote make differ anil kapoor answer modi elect clarion call extend support campaign
15,vote parti leadershipwho take fast firm action none narendra damodarda modi bjp parti
16,vote modi creat job
17,vote ensur govt need deserv anupam kher respond modi appeal elect
18,dont play word talk modi swami relat guru say good chowkidar protect good mind tweet dark side terror brighter side better know
19,write chowkidar mean anti modi tri visit plz use anti
20,one recent said peopl vote modi anti nation put gen hooda congress support jawan support modi anti nation great thing hear
21,firm belief leadership shri narendra modi bjp enter polit given form file nomin khammam parliamentari seat proceed khammam today
22,crush jaw shoutmodimodi say jd mla incit murder
23,sultanpur uttar pradesh loksabha candid select pawan kumar pandey actual public want given vote modi current condid popular district candid bsp candid sonbhadra singh
24,thiugh nehru aliv still aliv heart modi everi failur nehru respons
25,develop becom mass movement modi govt econom social polit empower life one wit posit paradigm shift new india
26,alreadi taken notic order probe time modi take notic muslim famili harass beaten recent extremist hindu suggest leav india move pakistan
27,wait modi also talk varanasi
28,accord yogi imran masood kin azhar masood accord logic nirav modi lalit modi narendra modi brother mother
29,agre tenur modiganga rejuven work start work
30,three code modi crack give india huge foreign polici jumpstart via
31,vote ensur govt need deserv anupam kher respond modi vote kar appeal elect
32,modi govt slash india educ budget clear indic dont care india futur congress presid shri hand ensur increas budget gdp futur india deserv
33,born religion femal deiti worship misogynist sadist tradit total point isit man made tradit written one religi lunat support religion repress
34,peopl made amazedn fear frustat may result vote sir wast ministerdisgrac entir modi cabinet
35,modi
36,check latest articl premier archeri leagu via
37,india second optimist global execut job growth show survey india senior execut said optimist growth number job role year
38,peopl wish vision india least interest person enmiti modi other person problem handl person dont expect nation join dirti fight other tell vote
39,modi etern wrong dear sirji perfectli fine indian peopl
40,impress godrej tata compliment hope get second term
41,maid say rahul keep say modi kalla yet goe hug wink magand idu bekagittu
42,pleas vote modi congress tri divid india
43,ye good job highli insensitivearrog incompet ploar need defeat costnobodi know made arrog person minist gave ticketh touch grounddespit month upsc protest nvr met
44,hindustan seen worst hindu maj hindu rashtra thrash rascal face anti indian politiciansantin urban naxal wait watch modi win pakistan mein bhi hindu hona garv baat hogi
45,higher vote turnout directli proport bjp victori wonder modi launch campaign like dont sit home ensur everyon friend famili rel vote never
46,modi govt done remark job make corrupt free india ultim success shall achiev corrupt jail modi govt vision corruptionfre india ensur loot countri face law via namo app
47,use beg campaign
48,welfar deliveri gst ibc feo place modi exit psu nd term use money appoint judg polic forens lab fasttrack deliveri justic educ healthcar citizen invest defenc india well
49,new india modi tri build leader parti live deplor charact
50,overpromis underdeliveri pithi summari econom outcom last five year approach gener elect
